	chr	start	end	gene_id
ENSG00000179403	1	1434860	1434861	ENSG00000179403
ENSG00000215915	1	1449688	1449689	ENSG00000215915
ENSG00000160072	1	1471768	1471769	ENSG00000160072
ENSG00000284740	1	1503249	1503250	ENSG00000284740
ENSG00000197785	1	1512150	1512151	ENSG00000197785
ENSG00000205090	1	1540623	1540624	ENSG00000205090
ENSG00000215014	1	1574101	1574102	ENSG00000215014
ENSG00000160075	1	1574862	1574863	ENSG00000160075
ENSG00000274481	1	1583908	1583909	ENSG00000274481
ENSG00000228594	1	1600134	1600135	ENSG00000228594
ENSG00000197530	1	1615414	1615415	ENSG00000197530
ENSG00000272106	1	1615794	1615795	ENSG00000272106
ENSG00000189409	1	1632094	1632095	ENSG00000189409
ENSG00000248333	1	1659011	1659012	ENSG00000248333
ENSG00000272004	1	1659324	1659325	ENSG00000272004
ENSG00000269737	1	1671989	1671990	ENSG00000269737
ENSG00000189339	1	1692727	1692728	ENSG00000189339
ENSG00000215914	1	1699941	1699942	ENSG00000215914
ENSG00000008128	1	1724356	1724357	ENSG00000008128
ENSG00000227775	1	1724511	1724512	ENSG00000227775
ENSG00000268575	1	1737687	1737688	ENSG00000268575
ENSG00000215790	1	1745998	1745999	ENSG00000215790
ENSG00000008130	1	1780456	1780457	ENSG00000008130
ENSG00000078369	1	1891116	1891117	ENSG00000078369
ENSG00000231050	1	1891470	1891471	ENSG00000231050
ENSG00000169885	1	1915107	1915108	ENSG00000169885
ENSG00000178821	1	1919278	1919279	ENSG00000178821
ENSG00000142609	1	2003836	2003837	ENSG00000142609
ENSG00000233542	1	2015529	2015530	ENSG00000233542
ENSG00000187730	1	2019328	2019329	ENSG00000187730
ENSG00000226969	1	2050069	2050070	ENSG00000226969
ENSG00000067606	1	2050410	2050411	ENSG00000067606
ENSG00000271806	1	2145278	2145279	ENSG00000271806
ENSG00000182873	1	2184388	2184389	ENSG00000182873
ENSG00000234396	1	2212522	2212523	ENSG00000234396
ENSG00000162585	1	2212719	2212720	ENSG00000162585
ENSG00000157933	1	2228318	2228319	ENSG00000157933
ENSG00000272161	1	2326692	2326693	ENSG00000272161
ENSG00000269896	1	2352819	2352820	ENSG00000269896
ENSG00000272420	1	2363627	2363628	ENSG00000272420
ENSG00000116151	1	2391706	2391707	ENSG00000116151
ENSG00000157916	1	2391774	2391775	ENSG00000157916
ENSG00000157911	1	2413796	2413797	ENSG00000157911
ENSG00000149527	1	2425979	2425980	ENSG00000149527
ENSG00000224387	1	2493257	2493258	ENSG00000224387
ENSG00000229393	1	2494478	2494479	ENSG00000229393
ENSG00000157881	1	2526627	2526628	ENSG00000157881
ENSG00000272449	1	2530063	2530064	ENSG00000272449
ENSG00000197921	1	2530262	2530263	ENSG00000197921
ENSG00000157873	1	2555638	2555639	ENSG00000157873
ENSG00000238164	1	2557030	2557031	ENSG00000238164
ENSG00000225931	1	2566409	2566410	ENSG00000225931
ENSG00000228037	1	2581559	2581560	ENSG00000228037
ENSG00000157870	1	2586490	2586491	ENSG00000157870
ENSG00000237058	1	2632567	2632568	ENSG00000237058
ENSG00000142606	1	2633015	2633016	ENSG00000142606
ENSG00000285945	1	2768090	2768091	ENSG00000285945
ENSG00000283259	1	2773602	2773603	ENSG00000283259
ENSG00000215912	1	2801716	2801717	ENSG00000215912
ENSG00000233234	1	2812691	2812692	ENSG00000233234
ENSG00000231630	1	2814997	2814998	ENSG00000231630
ENSG00000284745	1	2968706	2968707	ENSG00000284745
ENSG00000169717	1	3021482	3021483	ENSG00000169717
ENSG00000177133	1	3068436	3068437	ENSG00000177133
ENSG00000142611	1	3069167	3069168	ENSG00000142611
ENSG00000283572	1	3127974	3127975	ENSG00000283572
ENSG00000226286	1	3133708	3133709	ENSG00000226286
ENSG00000279839	1	3205987	3205988	ENSG00000279839
ENSG00000272235	1	3310095	3310096	ENSG00000272235
ENSG00000130762	1	3454664	3454665	ENSG00000130762
ENSG00000272088	1	3487245	3487246	ENSG00000272088
ENSG00000207776	1	3560789	3560790	ENSG00000207776
ENSG00000162591	1	3611507	3611508	ENSG00000162591
ENSG00000238260	1	3624742	3624743	ENSG00000238260
ENSG00000158109	1	3625014	3625015	ENSG00000158109
ENSG00000078900	1	3652515	3652516	ENSG00000078900
ENSG00000116213	1	3652760	3652761	ENSG00000116213
ENSG00000227589	1	3668771	3668772	ENSG00000227589
ENSG00000235131	1	3714297	3714298	ENSG00000235131
ENSG00000276189	1	3736942	3736943	ENSG00000276189
ENSG00000162592	1	3746459	3746460	ENSG00000162592
ENSG00000227372	1	3747372	3747373	ENSG00000227372
ENSG00000235169	1	3772760	3772761	ENSG00000235169
ENSG00000266075	1	3782814	3782815	ENSG00000266075
ENSG00000272153	1	3785007	3785008	ENSG00000272153
ENSG00000130764	1	3796497	3796498	ENSG00000130764
ENSG00000116198	1	3857213	3857214	ENSG00000116198
ENSG00000169598	1	3857266	3857267	ENSG00000169598
ENSG00000198912	1	3900292	3900293	ENSG00000198912
ENSG00000236423	1	3900371	3900372	ENSG00000236423
ENSG00000233304	1	3940564	3940565	ENSG00000233304
ENSG00000226374	1	3948979	3948980	ENSG00000226374
ENSG00000284668	1	3976132	3976133	ENSG00000284668
ENSG00000284703	1	4019507	4019508	ENSG00000284703
ENSG00000229280	1	4175898	4175899	ENSG00000229280
ENSG00000235054	1	4412026	4412027	ENSG00000235054
ENSG00000284694	1	4484374	4484375	ENSG00000284694
ENSG00000227169	1	4552144	4552145	ENSG00000227169
ENSG00000232596	1	4571480	4571481	ENSG00000232596
ENSG00000196581	1	4654731	4654732	ENSG00000196581
ENSG00000284739	1	4973297	4973298	ENSG00000284739
ENSG00000284674	1	4973380	4973381	ENSG00000284674
ENSG00000231510	1	5090898	5090899	ENSG00000231510
ENSG00000284616	1	5307393	5307394	ENSG00000284616
ENSG00000284666	1	5482027	5482028	ENSG00000284666
ENSG00000260972	1	5492977	5492978	ENSG00000260972
ENSG00000284692	1	5493056	5493057	ENSG00000284692
ENSG00000283356	1	5554746	5554747	ENSG00000283356
ENSG00000264341	1	5564070	5564071	ENSG00000264341
ENSG00000236948	1	5668294	5668295	ENSG00000236948
ENSG00000264101	1	5862740	5862741	ENSG00000264101
ENSG00000069424	1	5991465	5991466	ENSG00000069424
ENSG00000131697	1	5992472	5992473	ENSG00000131697
ENSG00000116254	1	6180320	6180321	ENSG00000116254
ENSG00000285629	1	6197756	6197757	ENSG00000285629
ENSG00000158286	1	6205474	6205475	ENSG00000158286
ENSG00000226944	1	6205779	6205780	ENSG00000226944
ENSG00000116251	1	6209388	6209389	ENSG00000116251
ENSG00000225077	1	6234691	6234692	ENSG00000225077
ENSG00000116237	1	6235971	6235972	ENSG00000116237
ENSG00000173673	1	6244191	6244192	ENSG00000173673
ENSG00000158292	1	6261097	6261098	ENSG00000158292
ENSG00000271746	1	6393554	6393555	ENSG00000271746
ENSG00000097021	1	6394390	6394391	ENSG00000097021
ENSG00000069812	1	6424669	6424670	ENSG00000069812
ENSG00000187017	1	6424775	6424776	ENSG00000187017
ENSG00000265392	1	6429895	6429896	ENSG00000265392
ENSG00000231868	1	6447005	6447006	ENSG00000231868
ENSG00000215788	1	6466194	6466195	ENSG00000215788
ENSG00000171680	1	6520060	6520061	ENSG00000171680
ENSG00000253022	1	6540853	6540854	ENSG00000253022
ENSG00000229519	1	6547904	6547905	ENSG00000229519
ENSG00000162408	1	6554512	6554513	ENSG00000162408
ENSG00000173662	1	6555306	6555307	ENSG00000173662
ENSG00000204859	1	6579993	6579994	ENSG00000204859
ENSG00000116273	1	6613730	6613731	ENSG00000116273
ENSG00000162413	1	6614606	6614607	ENSG00000162413
ENSG00000041988	1	6624865	6624866	ENSG00000041988
ENSG00000007923	1	6701923	6701924	ENSG00000007923
ENSG00000228750	1	6724636	6724637	ENSG00000228750
ENSG00000284744	1	6767953	6767954	ENSG00000284744
ENSG00000237436	1	6784842	6784843	ENSG00000237436
ENSG00000171735	1	6785453	6785454	ENSG00000171735
ENSG00000227950	1	6834617	6834618	ENSG00000227950
ENSG00000237365	1	7014278	7014279	ENSG00000237365
ENSG00000207056	1	7219359	7219360	ENSG00000207056
ENSG00000237402	1	7368941	7368942	ENSG00000237402
ENSG00000237728	1	7389753	7389754	ENSG00000237728
ENSG00000225126	1	7441553	7441554	ENSG00000225126
ENSG00000270171	1	7694843	7694844	ENSG00000270171
ENSG00000270035	1	7698871	7698872	ENSG00000270035
ENSG00000269978	1	7700969	7700970	ENSG00000269978
ENSG00000049245	1	7771295	7771296	ENSG00000049245
ENSG00000269925	1	7776382	7776383	ENSG00000269925
ENSG00000049246	1	7784319	7784320	ENSG00000049246
ENSG00000236266	1	7827341	7827342	ENSG00000236266
ENSG00000049247	1	7853511	7853512	ENSG00000049247
ENSG00000270330	1	7942371	7942372	ENSG00000270330
ENSG00000049249	1	7943164	7943165	ENSG00000049249
ENSG00000116288	1	7954290	7954291	ENSG00000116288
ENSG00000200344	1	7982982	7982983	ENSG00000200344
ENSG00000284747	1	7991133	7991134	ENSG00000284747
ENSG00000284716	1	7999933	7999934	ENSG00000284716
ENSG00000116285	1	8026308	8026309	ENSG00000116285
ENSG00000238290	1	8026737	8026738	ENSG00000238290
ENSG00000232848	1	8058462	8058463	ENSG00000232848
ENSG00000229305	1	8189823	8189824	ENSG00000229305
ENSG00000227634	1	8202428	8202429	ENSG00000227634
ENSG00000200975	1	8206596	8206597	ENSG00000200975
ENSG00000233645	1	8220528	8220529	ENSG00000233645
ENSG00000251977	1	8292262	8292263	ENSG00000251977
ENSG00000162426	1	8317825	8317826	ENSG00000162426
ENSG00000252254	1	8328066	8328067	ENSG00000252254
ENSG00000232912	1	8424644	8424645	ENSG00000232912
ENSG00000221083	1	8511918	8511919	ENSG00000221083
ENSG00000270282	1	8512652	8512653	ENSG00000270282
ENSG00000234619	1	8750429	8750430	ENSG00000234619
ENSG00000224315	1	8786912	8786913	ENSG00000224315
ENSG00000222511	1	8796672	8796673	ENSG00000222511
ENSG00000226545	1	8798474	8798475	ENSG00000226545
ENSG00000228423	1	8807050	8807051	ENSG00000228423
ENSG00000142599	1	8817639	8817640	ENSG00000142599
ENSG00000229716	1	8831006	8831007	ENSG00000229716
ENSG00000274258	1	8866589	8866590	ENSG00000274258
ENSG00000230679	1	8878834	8878835	ENSG00000230679
ENSG00000074800	1	8879249	8879250	ENSG00000074800
ENSG00000201725	1	8883532	8883533	ENSG00000201725
ENSG00000238249	1	8893408	8893409	ENSG00000238249
ENSG00000232208	1	8907743	8907744	ENSG00000232208
ENSG00000232663	1	8909741	8909742	ENSG00000232663
ENSG00000131686	1	8945866	8945867	ENSG00000131686
ENSG00000265141	1	8979873	8979874	ENSG00000265141
ENSG00000197241	1	9026344	9026345	ENSG00000197241
ENSG00000252404	1	9082695	9082696	ENSG00000252404
ENSG00000142583	1	9088477	9088478	ENSG00000142583
ENSG00000180758	1	9129101	9129102	ENSG00000180758
ENSG00000284357	1	9151776	9151777	ENSG00000284357
ENSG00000234546	1	9182003	9182004	ENSG00000234546
ENSG00000228526	1	9198905	9198906	ENSG00000228526
ENSG00000049239	1	9234774	9234775	ENSG00000049239
ENSG00000171621	1	9292893	9292894	ENSG00000171621
ENSG00000284652	1	9422861	9422862	ENSG00000284652
ENSG00000252956	1	9437777	9437778	ENSG00000252956
ENSG00000284693	1	9440563	9440564	ENSG00000284693
ENSG00000235263	1	9503470	9503471	ENSG00000235263
ENSG00000171612	1	9539464	9539465	ENSG00000171612
ENSG00000231181	1	9576426	9576427	ENSG00000231181
ENSG00000188807	1	9588910	9588911	ENSG00000188807
ENSG00000171608	1	9651731	9651732	ENSG00000171608
ENSG00000179840	1	9654585	9654586	ENSG00000179840
ENSG00000233268	1	9662625	9662626	ENSG00000233268
ENSG00000231789	1	9687554	9687555	ENSG00000231789
ENSG00000271264	1	9780821	9780822	ENSG00000271264
ENSG00000171603	1	9824525	9824526	ENSG00000171603
ENSG00000280113	1	9828270	9828271	ENSG00000280113
ENSG00000223989	1	9848317	9848318	ENSG00000223989
ENSG00000285701	1	9900613	9900614	ENSG00000285701
ENSG00000178585	1	9910335	9910336	ENSG00000178585
ENSG00000228150	1	9942922	9942923	ENSG00000228150
ENSG00000162441	1	9943406	9943407	ENSG00000162441
ENSG00000173614	1	9943427	9943428	ENSG00000173614
ENSG00000202415	1	9947317	9947318	ENSG00000202415
ENSG00000283611	1	9960786	9960787	ENSG00000283611
ENSG00000265521	1	9967380	9967381	ENSG00000265521
ENSG00000241326	1	9983140	9983141	ENSG00000241326
ENSG00000162444	1	9997205	9997206	ENSG00000162444
ENSG00000130939	1	10032831	10032832	ENSG00000130939
ENSG00000224340	1	10054780	10054781	ENSG00000224340
ENSG00000233623	1	10058670	10058671	ENSG00000233623
ENSG00000201746	1	10163267	10163268	ENSG00000201746
ENSG00000054523	1	10210804	10210805	ENSG00000054523
ENSG00000264881	1	10227717	10227718	ENSG00000264881
ENSG00000199562	1	10298965	10298966	ENSG00000199562
ENSG00000264501	1	10306464	10306465	ENSG00000264501
ENSG00000284735	1	10387149	10387150	ENSG00000284735
ENSG00000284642	1	10395415	10395416	ENSG00000284642
ENSG00000142657	1	10398591	10398592	ENSG00000142657
ENSG00000251503	1	10430101	10430102	ENSG00000251503
ENSG00000175279	1	10430432	10430433	ENSG00000175279
ENSG00000271989	1	10430676	10430677	ENSG00000271989
ENSG00000241563	1	10449718	10449719	ENSG00000241563
ENSG00000203469	1	10458554	10458555	ENSG00000203469
ENSG00000142655	1	10472287	10472288	ENSG00000142655
ENSG00000160049	1	10472528	10472529	ENSG00000160049
ENSG00000243267	1	10616835	10616836	ENSG00000243267
ENSG00000272078	1	10639240	10639241	ENSG00000272078
ENSG00000130940	1	10796649	10796650	ENSG00000130940
ENSG00000225158	1	10895760	10895761	ENSG00000225158
ENSG00000175262	1	10982036	10982037	ENSG00000175262
ENSG00000215785	1	10991796	10991797	ENSG00000215785
ENSG00000120948	1	11012343	11012344	ENSG00000120948
ENSG00000277726	1	11012661	11012662	ENSG00000277726
ENSG00000271895	1	11029658	11029659	ENSG00000271895
ENSG00000009724	1	11047232	11047233	ENSG00000009724
ENSG00000116649	1	11060019	11060020	ENSG00000116649
ENSG00000226849	1	11068470	11068471	ENSG00000226849
ENSG00000230337	1	11099674	11099675	ENSG00000230337
ENSG00000171824	1	11099868	11099869	ENSG00000171824
ENSG00000225602	1	11143897	11143898	ENSG00000225602
ENSG00000253086	1	11152349	11152350	ENSG00000253086
ENSG00000171819	1	11189354	11189355	ENSG00000171819
ENSG00000207451	1	11226253	11226254	ENSG00000207451
ENSG00000238173	1	11232962	11232963	ENSG00000238173
ENSG00000198793	1	11262506	11262507	ENSG00000198793
ENSG00000120942	1	11273205	11273206	ENSG00000120942
ENSG00000238199	1	11279350	11279351	ENSG00000238199
ENSG00000284646	1	11319092	11319093	ENSG00000284646
ENSG00000224338	1	11425820	11425821	ENSG00000224338
ENSG00000204624	1	11479154	11479155	ENSG00000204624
ENSG00000285833	1	11502015	11502016	ENSG00000285833
ENSG00000235643	1	11609530	11609531	ENSG00000235643
ENSG00000284708	1	11623557	11623558	ENSG00000284708
ENSG00000132879	1	11654374	11654375	ENSG00000132879
ENSG00000116661	1	11655784	11655785	ENSG00000116661
ENSG00000116663	1	11664199	11664200	ENSG00000116663
ENSG00000116670	1	11691649	11691650	ENSG00000116670
ENSG00000162490	1	11691709	11691710	ENSG00000162490
ENSG00000177674	1	11736083	11736084	ENSG00000177674
ENSG00000215910	1	11761786	11761787	ENSG00000215910
ENSG00000177553	1	11779618	11779619	ENSG00000177553
ENSG00000011021	1	11806095	11806096	ENSG00000011021
ENSG00000177000	1	11806919	11806920	ENSG00000177000
ENSG00000276470	1	11843811	11843812	ENSG00000276470
ENSG00000278852	1	11845548	11845549	ENSG00000278852
ENSG00000275915	1	11847441	11847442	ENSG00000275915
ENSG00000175206	1	11848344	11848345	ENSG00000175206
ENSG00000120937	1	11858944	11858945	ENSG00000120937
ENSG00000224904	1	11877769	11877770	ENSG00000224904
ENSG00000285646	1	11908146	11908147	ENSG00000285646
ENSG00000199347	1	11908151	11908152	ENSG00000199347
ENSG00000201801	1	11909926	11909927	ENSG00000201801
ENSG00000116685	1	11926427	11926428	ENSG00000116685
ENSG00000083444	1	11934204	11934205	ENSG00000083444
ENSG00000116688	1	11980180	11980181	ENSG00000116688
ENSG00000270914	1	12017307	12017308	ENSG00000270914
ENSG00000116691	1	12019465	12019466	ENSG00000116691
ENSG00000202461	1	12024123	12024124	ENSG00000202461
ENSG00000276869	1	12029157	12029158	ENSG00000276869
ENSG00000243539	1	12037013	12037014	ENSG00000243539
ENSG00000120949	1	12063302	12063303	ENSG00000120949
ENSG00000201135	1	12077983	12077984	ENSG00000201135
ENSG00000227875	1	12080546	12080547	ENSG00000227875
ENSG00000285604	1	12092263	12092264	ENSG00000285604
ENSG00000283789	1	12166942	12166943	ENSG00000283789
ENSG00000028137	1	12166990	12166991	ENSG00000028137
ENSG00000263676	1	12191712	12191713	ENSG00000263676
ENSG00000225196	1	12221108	12221109	ENSG00000225196
ENSG00000252969	1	12221270	12221271	ENSG00000252969
ENSG00000048707	1	12230029	12230030	ENSG00000048707
ENSG00000239149	1	12507245	12507246	ENSG00000239149
ENSG00000229484	1	12527723	12527724	ENSG00000229484
ENSG00000221340	1	12570071	12570072	ENSG00000221340
ENSG00000276830	1	12579022	12579023	ENSG00000276830
ENSG00000162496	1	12618209	12618210	ENSG00000162496
ENSG00000272482	1	12619243	12619244	ENSG00000272482
ENSG00000204518	1	12644546	12644547	ENSG00000204518
ENSG00000226166	1	12692908	12692909	ENSG00000226166
ENSG00000188984	1	12716109	12716110	ENSG00000188984
ENSG00000157330	1	12746199	12746200	ENSG00000157330
ENSG00000116726	1	12774840	12774841	ENSG00000116726
ENSG00000116721	1	12791396	12791397	ENSG00000116721
ENSG00000228338	1	12823158	12823159	ENSG00000228338
ENSG00000239810	1	12831409	12831410	ENSG00000239810
ENSG00000231103	1	12841356	12841357	ENSG00000231103
ENSG00000179172	1	12848724	12848725	ENSG00000179172
ENSG00000120952	1	12857085	12857086	ENSG00000120952
ENSG00000243073	1	12886200	12886201	ENSG00000243073
ENSG00000187545	1	12898269	12898270	ENSG00000187545
ENSG00000204510	1	12916609	12916610	ENSG00000204510
ENSG00000207434	1	12922553	12922554	ENSG00000207434
ENSG00000234064	1	12926161	12926162	ENSG00000234064
ENSG00000232423	1	12947579	12947580	ENSG00000232423
ENSG00000274178	1	13029338	13029339	ENSG00000274178
ENSG00000274764	1	13056490	13056491	ENSG00000274764
ENSG00000277058	1	13060868	13060869	ENSG00000277058
ENSG00000229571	1	13068676	13068677	ENSG00000229571
ENSG00000277862	1	13097970	13097971	ENSG00000277862
ENSG00000236179	1	13105688	13105689	ENSG00000236179
ENSG00000275774	1	13116853	13116854	ENSG00000275774
ENSG00000229978	1	13128817	13128818	ENSG00000229978
ENSG00000233336	1	13147459	13147460	ENSG00000233336
ENSG00000280267	1	13155960	13155961	ENSG00000280267
ENSG00000179412	1	13165466	13165467	ENSG00000179412
ENSG00000204505	1	13172454	13172455	ENSG00000204505
ENSG00000279169	1	13201408	13201409	ENSG00000279169
ENSG00000279804	1	13226105	13226106	ENSG00000279804
ENSG00000250894	1	13245862	13245863	ENSG00000250894
ENSG00000270601	1	13254211	13254212	ENSG00000270601
ENSG00000231219	1	13275626	13275627	ENSG00000231219
ENSG00000207511	1	13279230	13279231	ENSG00000207511
ENSG00000182330	1	13285173	13285174	ENSG00000182330
ENSG00000237700	1	13303538	13303539	ENSG00000237700
ENSG00000204501	1	13315580	13315581	ENSG00000204501
ENSG00000228229	1	13324038	13324039	ENSG00000228229
ENSG00000204481	1	13347133	13347134	ENSG00000204481
ENSG00000204480	1	13371899	13371900	ENSG00000204480
ENSG00000204479	1	13389631	13389632	ENSG00000204479
ENSG00000204478	1	13410449	13410450	ENSG00000204478
ENSG00000259961	1	13513219	13513220	ENSG00000259961
ENSG00000162494	1	13514002	13514003	ENSG00000162494
ENSG00000215909	1	13555000	13555001	ENSG00000215909
ENSG00000162493	1	13583464	13583465	ENSG00000162493
ENSG00000222952	1	13623283	13623284	ENSG00000222952
ENSG00000237445	1	13659909	13659910	ENSG00000237445
ENSG00000253085	1	13696198	13696199	ENSG00000253085
ENSG00000116731	1	13700197	13700198	ENSG00000116731
ENSG00000189337	1	13892791	13892792	ENSG00000189337
ENSG00000252151	1	14124334	14124335	ENSG00000252151
ENSG00000231606	1	14223117	14223118	ENSG00000231606
ENSG00000234593	1	14391574	14391575	ENSG00000234593
ENSG00000235829	1	14692612	14692613	ENSG00000235829
ENSG00000171729	1	15152531	15152532	ENSG00000171729
ENSG00000175147	1	15153236	15153237	ENSG00000175147
ENSG00000204464	1	15171316	15171317	ENSG00000204464
ENSG00000215720	1	15192844	15192845	ENSG00000215720
ENSG00000278480	1	15226372	15226373	ENSG00000278480
ENSG00000142621	1	15247271	15247272	ENSG00000142621
ENSG00000236045	1	15335463	15335464	ENSG00000236045
ENSG00000233485	1	15343875	15343876	ENSG00000233485
ENSG00000228140	1	15409432	15409433	ENSG00000228140
ENSG00000142634	1	15409887	15409888	ENSG00000142634
ENSG00000162438	1	15438438	15438439	ENSG00000162438
ENSG00000142615	1	15456727	15456728	ENSG00000142615
ENSG00000215704	1	15465908	15465909	ENSG00000215704
ENSG00000132906	1	15526533	15526534	ENSG00000132906
ENSG00000116138	1	15526812	15526813	ENSG00000116138
ENSG00000251866	1	15542164	15542165	ENSG00000251866
ENSG00000272510	1	15565955	15565956	ENSG00000272510
ENSG00000116771	1	15585050	15585051	ENSG00000116771
